,City,Humidity,Min Temp,Max Temp,Wind Speed,Cloudiness,Date,Country,Sunrise,Sunset,Lat,Lon
0,Rikitea,95,27.02,27.02,7.09,32,1546977317,PF,1546957375,1547005851,-23.12,-134.97
1,Mataura,65,16.49,16.49,2.02,64,1546977317,NZ,1546880669,1546936656,-46.19,168.86
2,Bulalacao,100,24.07,24.07,4.22,92,1546977317,PH,1546899041,1546939963,13.7,123.78
3,Thompson,70,-17.0,-17.0,7.7,90,1546974000,CA,1546959420,1546986019,55.74,-97.86
4,Polyarnyye Zori,87,-10.49,-10.49,1.24,88,1546977317,RU,1546936443,1546946414,67.37,32.5
5,Touros,74,28.0,28.0,5.7,40,1546974000,BR,1546935395,1546980059,-5.2,-35.46
6,Tezu,74,6.54,6.54,0.72,0,1546977318,IN,1546907272,1546944997,27.93,96.16
7,Yellowknife,75,-28.0,-28.0,2.1,75,1546974000,CA,1546966615,1546986761,62.45,-114.38
8,Ancud,54,14.0,14.0,7.2,75,1546974000,CL,1546939887,1546993969,-41.87,-73.83
9,Albany,75,1.0,6.1,6.2,90,1546975020,US,1546950279,1546983578,42.65,-73.75
10,Puerto Ayora,58,29.0,29.0,3.6,20,1546974000,EC,1546949011,1546992800,-0.74,-90.35
11,Mar del Plata,36,16.82,16.82,7.52,92,1546977319,AR,1546937390,1546993429,-46.43,-67.52
12,Karratha,68,25.77,25.77,1.29,76,1546977319,AU,1546897188,1546945130,-20.74,116.85
13,Bredasdorp,88,19.0,19.0,4.6,92,1546974000,ZA,1546918615,1546970177,-34.53,20.04
14,Pevek,69,-26.36,-26.36,1.72,0,1546977320,RU,0,0,69.7,170.27
15,Srednekolymsk,33,-30.21,-30.21,1.37,76,1546977320,RU,1546907601,1546917058,67.46,153.71
16,Nanortalik,97,-0.01,-0.01,5.07,92,1546977320,GL,1546948693,1546971484,60.14,-45.24
17,Kesinga,80,8.32,8.32,1.24,0,1546977321,IN,1546909469,1546949011,20.19,83.22
18,Usatove,92,-10.0,-10.0,1.0,75,1546976640,UA,1546926016,1546957715,46.54,30.65
19,Comillas,76,10.0,10.0,1.0,90,1546975800,ES,1546933752,1546966754,43.39,-4.29
20,Kundiawa,91,14.27,14.27,0.94,48,1546977322,PG,1546891996,1546936827,-6.02,144.97
21,Punta Arenas,58,11.0,12.0,8.2,40,1546974000,CL,1546936300,1546996132,-53.16,-70.91
22,Maumere,100,26.74,26.74,0.92,56,1546977322,ID,1546897196,1546942549,-8.63,122.22
23,Montes Altos,83,29.0,29.0,2.6,75,1546974000,BR,1546938120,1546982908,-5.83,-47.07
24,Belozerskoye,60,-17.01,-17.01,4.97,64,1546977322,RU,1546920243,1546946721,55.82,65.58
25,Omoa,58,27.0,30.0,2.6,40,1546974000,HN,1546950100,1546990603,15.77,-88.03
26,Bluff,93,21.64,21.64,4.97,92,1546977323,AU,1546889116,1546937730,-23.58,149.07
27,Vaini,82,15.07,15.07,1.57,0,1546977323,IN,1546911043,1546951627,15.34,74.49
28,Sunrise Manor,58,10.6,12.2,1.5,75,1546974900,US,1546959108,1546994584,36.21,-115.07
29,New Norfolk,50,12.0,12.0,6.2,20,1546975800,AU,1546886652,1546941145,-42.78,147.06
30,Georgetown,78,28.0,28.0,6.2,75,1546974000,GY,1546942022,1546984336,6.8,-58.16
31,Dandong,57,-20.76,-20.76,1.29,0,1546977325,CN,1546902281,1546936449,40.12,124.37
32,Ushuaia,66,9.0,9.0,8.7,40,1546974000,AR,1546935081,1546996098,-54.81,-68.31
33,Mahebourg,83,27.0,27.0,6.2,40,1546974000,MU,1546911429,1546959290,-20.41,57.7
34,Atuona,100,26.92,26.92,7.22,64,1546977326,PF,1546959801,1547005380,-9.8,-139.03
35,Sidney,56,-8.0,-5.6,8.2,1,1546976100,US,1546958629,1546989831,47.72,-104.16
36,Leningradskiy,79,-21.96,-21.96,9.27,0,1546977327,RU,0,0,69.38,178.42
37,Lorengau,98,28.77,28.77,4.97,92,1546977330,PG,1546891840,1546935880,-2.02,147.27
38,Sosnovo-Ozerskoye,41,-21.99,-21.99,3.64,0,1546977331,RU,1546908135,1546936761,52.53,111.54
39,Tuktoyaktuk,74,-33.0,-33.0,2.1,40,1546974000,CA,0,0,69.44,-133.03
40,Cape Town,72,20.0,20.0,9.3,20,1546974000,ZA,1546919096,1546970474,-33.93,18.42
41,Zhigansk,0,-39.51,-39.51,1.14,0,1546977340,RU,1546913720,1546925506,66.77,123.37
42,Upernavik,100,-18.99,-18.99,4.27,76,1546977341,GL,0,0,72.79,-56.15
43,Asyut,75,4.54,4.54,2.57,0,1546977341,EG,1546922773,1546960692,27.18,31.19
44,Buraydah,77,17.0,17.0,1.0,0,1546974000,SA,1546919601,1546957727,26.33,43.97
45,Ribeira Grande,82,17.0,17.0,11.8,40,1546974000,PT,1546938745,1546973479,38.52,-28.7
46,Alofi,88,28.0,28.0,3.1,92,1546974000,NU,1546966235,1547013773,-19.06,-169.92
47,Gajraula,90,8.39,8.39,3.92,8,1546977344,IN,1546911686,1546949183,28.84,78.25
48,Dikson,97,-22.56,-22.56,4.04,44,1546977345,RU,0,0,73.51,80.55
49,Karachi,55,17.0,17.0,3.09,0,1546973700,PK,1546913891,1546952365,24.87,67.03
50,Nantucket,96,5.6,6.1,7.2,90,1546976040,US,1546949152,1546982951,41.28,-70.1
51,Saint-Philippe,86,-3.0,2.2,5.1,90,1546976280,CA,1546950750,1546982978,45.36,-73.48
52,Miyang,98,6.57,6.57,1.49,92,1546977349,CN,1546905096,1546943677,24.4,103.44
53,Pangnirtung,74,-32.0,-32.0,2.19,20,1546974000,CA,1546958188,1546971828,66.15,-65.72
54,Husavik,86,-10.36,-10.36,9.32,88,1546977350,CA,1546957611,1546987407,50.56,-96.99
55,Faya,54,13.0,14.0,2.1,0,1546974000,SA,1546919058,1546958997,18.39,42.45
56,Beloha,89,23.07,23.07,1.92,0,1546977351,MG,1546913897,1546962889,-25.17,45.06
57,East Liverpool,54,13.3,15.6,6.2,40,1546973760,US,1546951550,1546985585,40.62,-80.58
58,Saint George,85,-7.0,-4.0,0.94,20,1546973400,GR,1546926651,1546961067,39.45,22.34
59,Bethel,84,-16.1,-13.0,3.6,90,1546976040,US,1546976980,1546999143,60.79,-161.76
60,Champerico,42,28.0,28.0,1.5,40,1546972920,MX,1546951501,1546991877,16.38,-93.6
61,Hermanus,93,17.02,17.02,2.07,92,1546977354,ZA,1546918824,1546970352,-34.42,19.24
62,Barrow,31,28.59,28.59,2.57,0,1546977354,AR,1546937275,1546990054,-38.31,-60.23
63,Bonthe,55,28.29,28.29,1.07,80,1546977355,SL,1546931133,1546973302,7.53,-12.5
64,Narsaq,95,-2.66,-2.66,0.34,92,1546977355,GL,1546949300,1546971267,60.91,-46.05
65,Lebu,55,1.82,1.82,1.39,0,1546977355,ET,1546918977,1546960861,8.96,38.73
66,Busselton,100,18.64,18.64,8.42,0,1546977356,AU,1546895862,1546947168,-33.64,115.35
67,Port Elizabeth,82,7.2,11.2,4.19,90,1546976520,US,1546949982,1546984463,39.31,-74.98
68,Rio Gallegos,76,9.0,9.0,8.7,75,1546974000,AR,1546936395,1546995230,-51.62,-69.22
69,Airai,95,21.99,21.99,0.62,80,1546977357,TL,1546896400,1546941814,-8.93,125.41
70,Tuatapere,82,15.69,15.69,2.79,64,1546977357,NZ,1546880964,1546936923,-46.13,167.69
71,Aligudarz,72,-5.46,-5.46,1.17,92,1546977357,IR,1546919154,1546955429,33.4,49.69
72,Nikolskoye,92,-3.0,-3.0,2.0,75,1546975800,RU,1546930236,1546953435,59.7,30.79
73,Sao Joao da Barra,55,30.0,30.0,10.3,0,1546974000,BR,1546934998,1546983134,-21.64,-41.05
74,Tommot,64,-18.69,-18.69,1.07,64,1546977359,RU,1546906986,1546930841,58.97,126.27
75,Chokurdakh,36,-31.24,-31.24,2.39,68,1546977359,RU,0,0,70.62,147.9
