coord,country,id,name,OWMLat,OWMLon
"{'lon': -9.10639, 'lat': 52.671669}",IE,2963385,Killadysert,52.671669,-9.10639
"{'lon': 117.116669, 'lat': 33.166672}",CN,1816945,Baoji,33.166672,117.116669
"{'lon': 37.859444, 'lat': 55.27861}",RU,817687,Yarlykovo,55.27861,37.859444
"{'lon': 3.87787, 'lat': 45.031551}",FR,2970826,Vals-pres-le-Puy,45.031551,3.87787
"{'lon': 12.16488, 'lat': 47.267639}",AT,7872252,Wald im Pinzgau,47.267639,12.16488
"{'lon': 120.6325, 'lat': 14.9653}",PH,1712627,Guagua,14.9653,120.6325
"{'lon': 10.23333, 'lat': 49.683331}",DE,2808624,Willanzheim,49.683331,10.23333
"{'lon': -65.892662, 'lat': 18.434111}",PR,4566025,Loíza Municipio,18.434111,-65.892662
"{'lon': 150.339493, 'lat': 8.75}",FM,7626991,Unanu Municipality,8.75,150.339493
"{'lon': 9.56667, 'lat': 51.883331}",DE,2866665,Negenborn,51.883331,9.56667
"{'lon': 124.383331, 'lat': 7.96667}",PH,1723739,Buadiposo-Buntong,7.96667,124.383331
"{'lon': -8.78462, 'lat': 42.26413}",ES,3126577,Cangas,42.26413,-8.78462
"{'lon': -7.12574, 'lat': 40.17112}",PT,8011735,Penamacor,40.17112,-7.12574
"{'lon': 14.59912, 'lat': 42.153542}",IT,3180247,Casalbordino,42.153542,14.59912
"{'lon': -98.550003, 'lat': 17.549999}",MX,3515384,Tlapa de Comonfort,17.549999,-98.550003
"{'lon': 5, 'lat': 45.5}",FR,2969282,Arrondissement de Vienne,45.5,5.0
"{'lon': 41.468632, 'lat': 42.712318}",GE,612652,Ochamchire,42.712318,41.468632
"{'lon': 11.75, 'lat': 52.566669}",DE,2895926,Insel,52.566669,11.75
"{'lon': -5.01667, 'lat': 38.083328}",ES,2509466,Villaviciosa de Cordoba,38.083328,-5.01667
"{'lon': 10.2667, 'lat': 49.450001}",DE,6556902,Gallmersgarten,49.450001,10.2667
"{'lon': -81.959023, 'lat': 39.952011}",US,4521465,Pleasant Grove,39.952011,-81.959023
"{'lon': 36.081108, 'lat': 40.387501}",TR,738618,Turhal,40.387501,36.081108
"{'lon': -1.80224, 'lat': 48.605019}",FR,3013263,Hirel,48.605019,-1.80224
"{'lon': -0.72452, 'lat': 45.07407}",FR,3037190,Arcins,45.07407,-0.72452
"{'lon': 3.5666700000000002, 'lat': 45.033329}",FR,6449038,Charraix,45.033329,3.5666700000000002
"{'lon': -89.199997, 'lat': 14.4}",HN,3615169,Antigua Ocotepeque,14.4,-89.199997
"{'lon': 11.95, 'lat': 47.716671}",DE,2949323,Bichl,47.716671,11.95
"{'lon': 62.936199, 'lat': 56.259998}",RU,1507565,Dalmatovo,56.259998,62.936199
"{'lon': 23.933331, 'lat': 41.966671}",BG,6461138,Grashevo,41.966671,23.933331
"{'lon': -1.6, 'lat': 54.599998}",GB,2647186,Heighington,54.599998,-1.6
"{'lon': -73.232452, 'lat': 45.850079}",CA,5927024,Contrecoeur,45.850079,-73.232452
"{'lon': -97.900002, 'lat': 18.85}",MX,3533157,Ahuatepec,18.85,-97.900002
"{'lon': 56.25, 'lat': 54.733334}",RU,538642,Kasimovo,54.733334,56.25
"{'lon': -6.71187, 'lat': 41.34034}",PT,2737599,Mogadouro,41.34034,-6.71187
"{'lon': -76.705254, 'lat': 39.268162}",US,4351037,Charlestown,39.268162,-76.705254
"{'lon': 43.404949, 'lat': 15.86656}",YE,77980,Ash Shahil,15.86656,43.404949
"{'lon': -1.40941, 'lat': 49.420952}",FR,3015556,Gourbesville,49.420952,-1.40941
"{'lon': 14.46667, 'lat': 47.349998}",AT,2766648,Sankt Johann am Tauern,47.349998,14.46667
"{'lon': 125.5, 'lat': 11.66667}",PH,1713986,Province of Eastern Samar,11.66667,125.5
"{'lon': 139, 'lat': 36.48333}",JP,1852595,Shibukawa,36.48333,139.0
"{'lon': 22.83532, 'lat': 38.411861}",GR,8133909,Dimos Livadeia,38.411861,22.83532
"{'lon': -8.70649, 'lat': 42.431881}",ES,3124736,Combarro,42.431881,-8.70649
"{'lon': -3.73017, 'lat': 41.610149}",ES,3126810,Campillo de Aranda,41.610149,-3.73017
"{'lon': 145.566666, 'lat': -38.183331}",AU,2176575,Bayles,-38.183331,145.566666
"{'lon': -3.57797, 'lat': 41.139709}",ES,6359362,Somosierra,41.139709,-3.57797
"{'lon': -64.333328, 'lat': -19.116671}",BO,3901519,Villa Serrano,-19.116671,-64.333328
"{'lon': 5.65, 'lat': 49.616669}",BE,2787380,Saint-Léger,49.616669,5.65
"{'lon': 24.96306, 'lat': 57.011108}",LV,457676,Malpils,57.011108,24.96306
"{'lon': -83.612991, 'lat': 42.24115}",US,5015688,Ypsilanti,42.24115,-83.612991
"{'lon': -69.949997, 'lat': 18.48333}",DO,3491913,Villas Agrícolas Número Dos,18.48333,-69.949997
"{'lon': 9.43333, 'lat': 54.700001}",DE,2924182,Frörup,54.700001,9.43333
"{'lon': -0.669, 'lat': 40.529171}",ES,3104859,Villarroya de los Pinares,40.529171,-0.669
"{'lon': 19.67762, 'lat': 47.832378}",HU,3050872,Jobbagyi,47.832378,19.67762
"{'lon': 4.68973, 'lat': 45.721809}",FR,3030029,Brindas,45.721809,4.68973
"{'lon': 11.55, 'lat': 51.166672}",DE,2807474,Wischroda,51.166672,11.55
"{'lon': 111.039948, 'lat': -6.57337}",ID,8056435,Krajan Kedungsari,-6.57337,111.039948
"{'lon': 9.9337, 'lat': 50.10825}",DE,2923900,Fuchsstadt,50.10825,9.9337
"{'lon': 41.783333, 'lat': 55.200001}",RU,565960,Dmitriyevy Gory,55.200001,41.783333
"{'lon': -70.050003, 'lat': -26.366671}",CL,3892454,Diego de Almagro,-26.366671,-70.050003
"{'lon': -106.705299, 'lat': 34.854778}",US,5458548,Bosque Farms,34.854778,-106.705299
"{'lon': 52.479179, 'lat': 56.187382}",RU,582423,Alnashi,56.187382,52.479179
"{'lon': 6.68333, 'lat': 50.033329}",DE,2860122,Oberkail,50.033329,6.68333
"{'lon': 18.574789, 'lat': 49.955421}",PL,3097391,Jastrzebie Zdroj,49.955421,18.574789
"{'lon': -98.599998, 'lat': 20.65}",MX,3514134,Zacualtipan,20.65,-98.599998
"{'lon': -61.366669, 'lat': 5.616667}",VE,3647346,Cameirán,5.616667,-61.366669
"{'lon': 12.99323, 'lat': 45.767609}",IT,6536292,San Michele al Tagliamento,45.767609,12.99323
"{'lon': 2.00123, 'lat': 41.306049}",ES,3121519,Gava,41.306049,2.00123
"{'lon': 121.283333, 'lat': -2.3}",ID,1645357,Dolupo,-2.3,121.283333
"{'lon': 43.386391, 'lat': -11.3875}",KM,921852,Ivouani,-11.3875,43.386391
"{'lon': 27.27227, 'lat': 61.688568}",FI,646005,Mikkeli,61.688568,27.27227
"{'lon': 8.00893, 'lat': 45.003551}",IT,6534313,Capriglio,45.003551,8.00893
"{'lon': -4.20744, 'lat': 40.95285}",ES,6360935,Valverde del Majano,40.95285,-4.20744
"{'lon': 7.08333, 'lat': 50.383301}",DE,6553743,Arft,50.383301,7.08333
"{'lon': -1.75466, 'lat': 48.118568}",FR,2969465,Vezin-le-Coquet,48.118568,-1.75466
